seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
160202105502	X000YBW75R	0841913765	NewItem	SELLABLE	0
160202103348	X000YBUO39	0233999647	NewItem	SELLABLE	0
160127105913	X000Y5RL95	0195012828	CollectibleLikeNew	SELLABLE	0
160202101633	X000YBTVDD	0891458565	UsedLikeNew	SELLABLE	0
160127155638	X000Y657R7	B0049LUI9O	NewItem	SELLABLE	0
160129125436	X000Y8AA8V	1933993766	NewItem	SELLABLE	0
160127120125	X000Y5V03X	0001412353	NewItem	SELLABLE	0
151223150242	X000XC00ZL	B0050MB43A	UsedLikeNew	SELLABLE	0
160202101007	X000YBTKI9	0916658082	NewItem	SELLABLE	0
160127121700	X000Y5VVWX	0553147943	UsedGood	SELLABLE	0
160127121327	X000Y5VOR5	076459723X	NewItem	SELLABLE	0
151029111550	X000VZ2VT3	1476780250	UsedLikeNew	SELLABLE	0
160129143536	X000Y8FHI9	0195012828	NewItem	SELLABLE	0
151230110457	X000XFTD3X	0497005786	UsedVeryGood	SELLABLE	0
160202103329	X000YBUNM1	086573108X	NewItem	SELLABLE	0
160202103232	X000YBULYB	0300117876	NewItem	SELLABLE	0
160202100011	X000YBT42B	1617160857	NewItem	SELLABLE	0
160202100933	X000YBTJ5N	9076886466	NewItem	SELLABLE	0
160201143133	X000YD46OF	0007191650	UsedGood	SELLABLE	0
160127144731	X000Y61OZV	0736423087	UsedAcceptable	SELLABLE	0
151230100330	X000XFQXKJ	0195012828	NewItem	SELLABLE	0
151222182801	X000XB6VOL	061557226X	UsedAcceptable	SELLABLE	0
151230101056	X000XFR8AN	B00MV8SBA0	NewItem	SELLABLE	0
160127121326	X000Y5VOQL	076459723X	NewItem	SELLABLE	0
160127105753	X000Y5RJSD	B002UXQ5BS	CollectibleLikeNew	SELLABLE	0
160126132930	X000Y4T3TR	0393972836	CollectibleLikeNew	SELLABLE	0
160203103349	X000YD0N97	0582419743	NewItem	SELLABLE	0
160202100959	X000YBTKC5	0300117876	NewItem	SELLABLE	0
160202100938	X000YBTJA3	0891458565	NewItem	SELLABLE	0
151222183122	X000XB6ZLP	0618263268	UsedLikeNew	SELLABLE	0
160202112204	X000YBXO6N	0582419476	UsedLikeNew	SELLABLE	0
160127144642	X000Y61OID	0736423087	NewItem	SELLABLE	0
160129141338	X000Y8ETLZ	0195012828	NewItem	SELLABLE	0
160129143028	X000Y8FCPR	0195012828	NewItem	SELLABLE	0
151230103518	X000XFS5L9	0345472403	UsedVeryGood	SELLABLE	0
160127121623	X000Y5VUSN	1613791534	UsedVeryGood	SELLABLE	0
151230113006	X000XFUBP7	0812973011	UsedAcceptable	SELLABLE	0
160129143328	X000Y8FF6D	0195012828	NewItem	SELLABLE	0
160202110616	X000YBWSK1	B0039L6JKC	UsedLikeNew	SELLABLE	0
151223150722	X000XC03W1	B00SV9ALFQ	UsedLikeNew	SELLABLE	0
160202101616	X000YBTV0V	9076886466	UsedLikeNew	SELLABLE	0
160202103239	X000YBUME5	0916658082	NewItem	SELLABLE	0
160202103151	X000YBUL2D	9076886466	NewItem	SELLABLE	0
160127121324	X000Y5VONT	076459723X	NewItem	SELLABLE	0
151029102626	X000VYYU7P	0140390464	CollectibleLikeNew	SELLABLE	0
160202110437	X000YBWPBX	0841913765	UsedLikeNew	SELLABLE	0
160127121537	X000Y5VT07	0062585207	UsedVeryGood	SELLABLE	0
160202103338	X000YBUNUN	0891458565	NewItem	SELLABLE	0
151223150853	X000XC04NT	0618443363	UsedLikeNew	SELLABLE	0
160202103400	X000YBUOGB	0916658082	NewItem	SELLABLE	0
160129143103	X000Y8FDBZ	0195012828	NewItem	SELLABLE	0
160202103223	X000YBULR3	0811824195	NewItem	SELLABLE	0
160127112414	X000Y5STAP	B0009A5MUO	CollectibleLikeNew	SELLABLE	0
151223145253	X000XBZVAL	B000ELRB1G	UsedLikeNew	SELLABLE	0
160127115536	X000Y5UG1P	0001412353	UsedVeryGood	SELLABLE	0
151029110214	X000VZ13HT	B00MV8SBA0	NewItem	SELLABLE	0
160202102935	X000YBUH1D	9076886466	NewItem	SELLABLE	0
160202110114	X000YBWK1D	0841913765	UsedLikeNew	SELLABLE	0
160127121121	X000Y5VKOH	1613791534	NewItem	SELLABLE	0
160203115404	X000YD4RAX	B00JIK7Z7O	CollectibleGood	SELLABLE	0
160204104633	X000YE54Q3	B004HYK956	UsedLikeNew	SELLABLE	0
160203134935	X000YDA8HJ	0195012828	UsedAcceptable	SELLABLE	0
160203142119	X000YDBIG9	B002QRMWP6	UsedGood	SELLABLE	0
160203135007	X000YDAAJ5	0195012828	UsedAcceptable	SELLABLE	0
160204121241	X000YE9SYR	0195012828	NewItem	SELLABLE	0
160203115320	X000YD4Q09	B00JIK7Z7O	CollectibleVeryGood	SELLABLE	0
160204103700	X000YE4LZX	0001508679	NewItem	SELLABLE	0
160204110425	X000YE620F	B00BSUCTXW	NewItem	SELLABLE	0
160204135952	X000YEEYBT	0005005817	CollectibleAcceptable	SELLABLE	0
160204103624	X000YE4KP9	0781445442	UsedVeryGood	SELLABLE	0
160204104800	X000YE57EH	B001F12J0C	UsedLikeNew	SELLABLE	0
160203144923	X000YDCJE9	B0002B15I8	UsedRefurbished	SELLABLE	0
160204104648	X000YE55AD	B000FQBF1M	UsedVeryGood	SELLABLE	0
160204105243	X000YE5GDT	B00004TFXK	CollectibleLikeNew	SELLABLE	0
160204110103	X000YE5VJD	B000KI3O1O	NewItem	SELLABLE	0
160203134818	X000YDA6KX	0195012828	UsedRefurbished	SELLABLE	0
160204123405	X000YEAVZ7	0195012828	UsedGood	SELLABLE	0
160203104606	X000YD19HH	0582419743	CollectibleVeryGood	SELLABLE	0
160203144846	X000YDCIT5	B0007TKNDS	UsedRefurbished	SELLABLE	0
160204140918	X000YEFCE7	B0046S8MRA	NewItem	SELLABLE	0
160204140807	X000YEFAZ3	6303402348	NewItem	SELLABLE	0
160204122919	X000YEAN0Z	0195012828	UsedGood	SELLABLE	0
160204110120	X000YE5VZH	B00002246T	UsedLikeNew	SELLABLE	0
160204110042	X000YE5V1B	B0094KTKOO	CollectibleLikeNew	SELLABLE	0
160204110237	X000YE5Z17	B0027FEVI8	NewItem	SELLABLE	0
160204113039	X000YE7I9T	B0049C0MXK	CollectibleVeryGood	SELLABLE	0
160204112755	X000YE7CVX	0062258109	CollectibleVeryGood	SELLABLE	0
160203122008	X000YD60Y9	B0057OQ8OQ	CollectibleGood	SELLABLE	0
160203134849	X000YDA77Z	0195012828	UsedRefurbished	SELLABLE	0
160204104620	X000YE549Z	B0050SZC5U	UsedGood	SELLABLE	0
160204140120	X000YEF03P	0028331362	CollectibleAcceptable	SELLABLE	0
160203143233	X000YDBYQ3	B0009IW894	UsedRefurbished	SELLABLE	0
160204103718	X000YE4MFR	0393972836	NewItem	SELLABLE	0
160204105822	X000YE5QL1	B002NEGTTW	UsedVeryGood	SELLABLE	0
160204105354	X000YE5ITB	B0015DVEZQ	NewItem	SELLABLE	0
160203145250	X000YDCN81	B0002MHDYW	NewItem	SELLABLE	0
160203122950	X000YD6RFL	B000KBLKTO	CollectibleLikeNew	SELLABLE	0
160204122732	X000YEAJWR	0195012828	UsedGood	SELLABLE	0
160204135957	X000YEEYHX	0005068460	CollectibleAcceptable	SELLABLE	0
160204121825	X000YEA283	0195012828	UsedGood	SELLABLE	0
160204105501	X000YE5KO9	B003ZH9Z5G	NewItem	SELLABLE	0
160204141025	X000YEFD4B	0078231825	CollectibleAcceptable	SELLABLE	0
160203104338	X000YD14I1	0582419743	CollectibleLikeNew	SELLABLE	0
160203104134	X000YD0ZW7	0582419743	UsedVeryGood	SELLABLE	0
160204140317	X000YEF2IN	0001393774	CollectibleAcceptable	SELLABLE	0
160203125235	X000YD7VJ7	B0046S8MRA	CollectibleGood	SELLABLE	0
160204110208	X000YE5XPF	B005WH3RA6	NewItem	SELLABLE	0
160204135424	X000YEEQ0X	0005005817	CollectibleAcceptable	SELLABLE	0
160204105754	X000YE5PXP	B00A6D50L0	UsedRefurbished	SELLABLE	0
160204111533	X000YE6LV5	0345472403	UsedGood	SELLABLE	0
160204105326	X000YE5HPL	0345472403	UsedRefurbished	SELLABLE	0
160203134109	X000YD9VU9	0195012828	UsedAcceptable	SELLABLE	0
160204105420	X000YE5JLD	B007VL8XP0	UsedRefurbished	SELLABLE	0
160203135844	X000YDAN47	0582419743	CollectibleLikeNew	SELLABLE	0
160204105255	X000YE5GNJ	B000BXTVBK	CollectibleGood	SELLABLE	0
160204110513	X000YE63P9	B000KBLKTO	NewItem	SELLABLE	0
160204103733	X000YE4MYD	0140390464	UsedLikeNew	SELLABLE	0
160204140251	X000YEF1TX	0071313982	CollectibleAcceptable	SELLABLE	0
160203143127	X000YDBVE3	0007191650	UsedRefurbished	SELLABLE	0
160204135443	X000YEEQFN	0005257913	CollectibleAcceptable	SELLABLE	0
160204140434	X000YEF4BN	0078618886	CollectibleAcceptable	SELLABLE	0
160203115455	X000YD4TK1	B000FQBF1M	UsedLikeNew	SELLABLE	0
160204110323	X000YE60A7	B005CEQSOG	NewItem	SELLABLE	0
160204105226	X000YE5FGH	B0051M6IPI	UsedLikeNew	SELLABLE	0
160204110142	X000YE5WHT	B000ELQO50	UsedLikeNew	SELLABLE	0
160204112733	X000YE7BQT	0001388517	CollectibleGood	SELLABLE	0
160204103557	X000YE4JJB	0783222416	UsedLikeNew	SELLABLE	0
160204121638	X000YE9ZBD	0195012828	UsedGood	SELLABLE	0
160204135525	X000YEER93	0005170699	CollectibleAcceptable	SELLABLE	0
160204121504	X000YE9WTX	0195012828	UsedGood	SELLABLE	0
160203114537	X000YD48ZH	B00JIK7Z7O	CollectibleLikeNew	SELLABLE	0
160204140005	X000YEEYOL	0005257913	CollectibleAcceptable	SELLABLE	0
160203142256	X000YDBKNF	123456789X	UsedGood	SELLABLE	0
